SimulationName,Clock_today,sowing_date,cycle_id,umidade_solo_mm,umidade_solo_passada_1d_mm,umidade_solo_passada_2d_mm,umidade_solo_passada_3d_mm,precipitacao_observada_mm,irrigacao_aplicada_mm,irrigacao_aplicada_dia_posterior_mm,chuva_irrigacao_passada_1d_mm,chuva_irrigacao_passada_2d_mm,chuva_irrigacao_passada_3d_mm,etreal_mm_dia,previsao_chuva_24h_mm,previsao_temperatura_maxima_C,previsao_temperatura_minima_C,previsao_radiacao_solar_MJ_m2_dia,previsao_eto_mm_dia,temperatura_media_C,temperatura_maxima_C,temperatura_minima_C,umidade_relativa_pct,velocidade_vento_m_s,radiacao_solar_MJ_m2_dia,dr_mm,profundidade_radicular_mm,gdd_acumulado_C_dia,etr_acumulado_mm,doy_sin,doy_cos,month_sin,month_cos,escoamento_superficial_mm,drenagem_mm,taw_mm,dias_desde_semeadura,deficit_agua_proximo_dia_mm
Alegrete,2019-09-17,2019-08-10,0,267.2876465533334,261.95538105,256.96522224666666,253.2078307933333,0.42,0.0,0.0,0.5,0.2,0.1,2.001,3.125,16.778999999999996,10.352000000000032,8.9856,1.8041862983602623,15.24,19.6,10.59,81.39,3.26,10.78,-5.495360553333333,773.929,308.95,70.585,-0.9721181966290612,-0.23449138957041052,-1.0,-1.8369701987210297e-16,0.0,0.542,104.906486,38,-2.6970613966666663
Alegrete,2019-09-18,2019-08-10,0,272.83934739666665,267.2876465533334,261.95538105,256.96522224666666,0.5,0.0,0.0,0.4,0.5,0.2,2.0629999999999997,0.125,20.850000000000023,9.198000000000036,23.0256,3.450815173546601,16.96,22.77,11.21,69.68,1.13,23.54,-2.6970613966666663,798.929,317.95,72.648,-0.9760105506323682,-0.21772323039653224,-1.0,-1.8369701987210297e-16,0.0,0.698,108.256486,39,-0.13565126999999944
Alegrete,2019-09-19,2019-08-10,0,278.62793726999996,272.83934739666665,267.2876465533334,261.95538105,0.0,0.0,0.0,0.5,0.4,0.5,1.5019999999999998,0.0,23.251000000000037,9.950000000000044,23.3712,3.8583827950470235,16.35,25.15,8.23,75.49,1.8,20.98,-0.13565126999999944,823.929,326.6,74.15,-0.9796136916454901,-0.20089055513063528,-1.0,-1.8369701987210297e-16,0.0,0.842,111.60648599999999,40,2.117643493333334
Alegrete,2019-09-20,2019-08-10,0,284.72464250666667,278.62793726999996,272.83934739666665,267.2876465533334,0.0,0.0,0.0,0.0,0.5,0.4,1.355,0.0,16.87900000000002,9.76600000000002,23.587200000000003,3.764083099121681,14.83,19.49,10.61,69.37,3.81,23.78,2.117643493333334,848.929,333.65,75.505,-0.9829265519799822,-0.18399835165767986,-1.0,-1.8369701987210297e-16,0.0,0.963,114.956486,41,4.328183493333333
Alegrete,2019-09-21,2019-08-10,0,288.47834050666665,284.72464250666667,278.62793726999996,272.83934739666665,0.0,0.0,0.0,0.0,0.0,0.5,1.398,0.0,18.89600000000001,6.160000000000025,24.5808,3.836001454190126,12.54,21.18,4.82,68.4,2.06,23.56,4.328183493333333,866.786,340.25,76.903,-0.9859481499638303,-0.1670516255021195,-1.0,-1.8369701987210297e-16,0.0,1.052,117.349324,42,6.384666666666667
Alegrete,2019-09-22,2019-08-10,0,294.17533333333336,288.47834050666665,284.72464250666667,278.62793726999996,0.0,0.0,0.0,0.0,0.0,0.0,1.444,0.0,20.626000000000037,7.450000000000045,24.2568,4.110268530028294,13.72,22.84,6.17,65.34,2.19,24.91,6.384666666666667,890.0,347.65,78.347,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,0.0,1.104,120.46000000000001,43,8.21481459
Alegrete,2019-09-23,2019-08-10,0,300.32354240999996,294.17533333333336,288.47834050666665,284.72464250666667,0.0,0.0,0.0,0.0,0.0,0.0,1.408,0.0,19.25,7.050000000000011,24.7968,3.818275965607151,13.92,22.59,6.79,73.61,3.91,24.23,8.21481459,913.929,354.95,79.755,-0.9911140639934546,-0.13301470653419636,-1.0,-1.8369701987210297e-16,0.0,1.118,123.66648599999999,44,9.83625091
Alegrete,2019-09-24,2019-08-10,0,307.02710609,300.32354240999996,294.17533333333336,288.47834050666665,0.0,0.0,0.0,0.0,0.0,0.0,1.379,0.0,23.55000000000001,8.057000000000016,24.2568,4.10690803531203,15.9,23.48,10.04,77.03,2.62,22.67,9.83625091,938.929,363.7,81.134,-0.9932568492674143,-0.11593459959550066,-1.0,-1.8369701987210297e-16,0.0,1.097,127.016486,45,11.50905867
Alegrete,2019-09-25,2019-08-10,0,313.67929833,307.02710609,300.32354240999996,294.17533333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.542,0.0,24.05000000000001,10.805000000000009,24.5808,4.560126738217333,16.96,25.53,9.08,73.83,2.06,24.3,11.50905867,963.929,373.0,82.676,-0.9951053111006974,-0.09882013873287211,-1.0,-1.8369701987210297e-16,0.0,1.044,130.366486,46,13.211012840000002
Alegrete,2019-09-26,2019-08-10,0,320.30234416,313.67929833,307.02710609,300.32354240999996,0.0,0.0,0.0,0.0,0.0,0.0,1.659,0.0,24.950000000000045,11.58200000000005,24.4512,4.369063632981987,17.88,26.53,10.29,69.15,1.53,24.9,13.211012840000002,988.929,383.4,84.335,-0.99665890175417,-0.08167639533042288,-1.0,-1.8369701987210297e-16,0.0,0.965,133.716486,47,14.76933123
